A_agilis_DSM_375.fna.gz,P_alcaligenes_NBRC_14159.fna.gz,P_balearica_DSM_6083.fna.gz,P_boanensis_DB1.fna.gz,P_furukawaii_KF707.fna.gz,P_guguanensis_JCM_18416.fna.gz,P_indoloxydans_JCM_14246.fna.gz,P_jinjuensis_JCM_21621.fna.gz,P_lalkuanensis_MCC_3792.fna.gz,P_linyingensis_LMG_25967.fna.gz,P_nitritireducens_WZBFD3-5A.fna.gz,P_nitroreducens_NBRC_12694.fna.gz,P_oryzae_KCTC_33247.fna.gz,P_otitidis_DSM_17224.fna.gz,P_peli_DSM_17833.fna.gz,P_pseudoalcaligenes_NBRC_14167.fna.gz,P_resinovorans_DSM_21078.fna.gz,P_toyotomiensis_JCM_15604.fna.gz
1.0,0.0008662294270511075,0.0006629541235746487,0.000896358543417367,0.0005300540655146825,0.0009568233464896543,0.000962000962000962,0.00043299415457891317,0.0007602085143353606,0.0007433102081268583,0.0006216972334473111,0.0006420545746388443,0.0008929710422247736,0.0006208609271523179,0.0007668711656441718,0.0007495315427857589,0.000746985380428983,0.0009157509157509158
0.0008662294270511075,1.0,0.003098373353989156,0.004034969737726967,0.006707709271340623,0.012701014032571956,0.010679811049496817,0.0070191857744501636,0.0064703675918979745,0.006608622679114654,0.007028926736955934,0.007041601037709627,0.006773465218793678,0.01184769829067559,0.004405286343612335,0.008146424037240795,0.004424778761061947,0.009145442029698102
0.0006629541235746487,0.003098373353989156,1.0,0.0019209382266707107,0.0061829774900975755,0.0030049366816913502,0.007255793805501408,0.0026491365777080063,0.0025575447570332483,0.003991573345160217,0.0031129138760494293,0.0032054395337542496,0.00489749430523918,0.003676470588235294,0.0010229597635826324,0.0027892446725426754,0.0026142525174283502,0.002888682554420716
0.000896358543417367,0.004034969737726967,0.0019209382266707107,1.0,0.016013775290572536,0.0031781641428304357,0.004039834648628335,0.004066447482263367,0.010120397836328739,0.0027852477910103725,0.0034226563152182986,0.0031686220775884216,0.0033415233415233416,0.005935462297274703,0.0009820288716488265,0.003385240352064997,0.012853692201518288,0.0032517387769849158
0.0005300540655146825,0.006707709271340623,0.0061829774900975755,0.016013775290572536,1.0,0.006899641577060932,0.008015851571647303,0.006566370210290084,0.018630922272803913,0.004865509960525108,0.005943297727090194,0.006010209122344805,0.004971391051496107,0.017281947261663287,0.0022484541877459247,0.004524469067405355,0.018801996672212978,0.005716265373289451
0.0009568233464896543,0.012701014032571956,0.0030049366816913502,0.0031781641428304357,0.006899641577060932,1.0,0.0387891226269882,0.004823443756825628,0.005477451159393828,0.005292620865139949,0.005529711226191521,0.005591630591630592,0.005420619201501094,0.008441044579266685,0.00417144644905621,0.03371970495258166,0.0042228212039532795,0.04665938647870545
0.000962000962000962,0.010679811049496817,0.007255793805501408,0.004039834648628335,0.008015851571647303,0.0387891226269882,1.0,0.0042926294638779795,0.005315736412794428,0.004084967320261438,0.003605980650835532,0.0036150022593764122,0.005551482140986697,0.0072297654734614705,0.0031400460540087923,0.3049579045837231,0.0034252749233820083,0.08776292612164542
0.00043299415457891317,0.0070191857744501636,0.0026491365777080063,0.004066447482263367,0.006566370210290084,0.004823443756825628,0.0042926294638779795,1.0,0.007031514740765842,0.006931434994379917,0.01623804813715793,0.016314454775993237,0.008243865030674846,0.007592456527063434,0.0018124582657636174,0.004230118443316413,0.005507343124165554,0.0038691523039043265
0.0007602085143353606,0.0064703675918979745,0.0025575447570332483,0.010120397836328739,0.018630922272803913,0.005477451159393828,0.005315736412794428,0.007031514740765842,1.0,0.004120235977151419,0.007534807534807535,0.007474594776182078,0.005173900546133947,0.010254306808859722,0.0022005357826253348,0.004903809883062995,0.029102114183000943,0.0044981478214852705
0.0007433102081268583,0.006608622679114654,0.003991573345160217,0.0027852477910103725,0.004865509960525108,0.005292620865139949,0.004084967320261438,0.006931434994379917,0.004120235977151419,1.0,0.005402971634398919,0.005183745255947422,0.036454293628808865,0.003951859170109574,0.001823838643922326,0.0037962670041126224,0.003133063029856248,0.0031311154598825833
0.0006216972334473111,0.007028926736955934,0.0031129138760494293,0.0034226563152182986,0.005943297727090194,0.005529711226191521,0.003605980650835532,0.01623804813715793,0.007534807534807535,0.005402971634398919,1.0,0.5976878612716763,0.005703247171373379,0.007264113699170943,0.0023872922596639428,0.0036172906493036716,0.005566311713455953,0.0040736654502249005
0.0006420545746388443,0.007041601037709627,0.0032054395337542496,0.0031686220775884216,0.006010209122344805,0.005591630591630592,0.0036150022593764122,0.016314454775993237,0.007474594776182078,0.005183745255947422,0.5976878612716763,1.0,0.005297512061299783,0.0074439679585727,0.0023616096731532213,0.003253695268197453,0.0056240178645273345,0.004094790033106813
0.0008929710422247736,0.006773465218793678,0.00489749430523918,0.0033415233415233416,0.004971391051496107,0.005420619201501094,0.005551482140986697,0.008243865030674846,0.005173900546133947,0.036454293628808865,0.005703247171373379,0.005297512061299783,1.0,0.00551166636046298,0.002201188641866608,0.004651665945478148,0.004241681591101895,0.004108628119050005
0.0006208609271523179,0.01184769829067559,0.003676470588235294,0.005935462297274703,0.017281947261663287,0.008441044579266685,0.0072297654734614705,0.007592456527063434,0.010254306808859722,0.003951859170109574,0.007264113699170943,0.0074439679585727,0.00551166636046298,1.0,0.002108737508022371,0.006522329921188514,0.008812353464305926,0.005859872611464968
0.0007668711656441718,0.004405286343612335,0.0010229597635826324,0.0009820288716488265,0.0022484541877459247,0.00417144644905621,0.0031400460540087923,0.0018124582657636174,0.0022005357826253348,0.001823838643922326,0.0023872922596639428,0.0023616096731532213,0.002201188641866608,0.002108737508022371,1.0,0.003246401904555784,0.002355601620653915,0.00381296407786474
0.0007495315427857589,0.008146424037240795,0.0027892446725426754,0.003385240352064997,0.004524469067405355,0.03371970495258166,0.3049579045837231,0.004230118443316413,0.004903809883062995,0.0037962670041126224,0.0036172906493036716,0.003253695268197453,0.004651665945478148,0.006522329921188514,0.003246401904555784,1.0,0.003524719413783508,0.08351063829787234
0.000746985380428983,0.004424778761061947,0.0026142525174283502,0.012853692201518288,0.018801996672212978,0.0042228212039532795,0.0034252749233820083,0.005507343124165554,0.029102114183000943,0.003133063029856248,0.005566311713455953,0.0056240178645273345,0.004241681591101895,0.008812353464305926,0.002355601620653915,0.003524719413783508,1.0,0.0033874750282289587
0.0009157509157509158,0.009145442029698102,0.002888682554420716,0.0032517387769849158,0.005716265373289451,0.04665938647870545,0.08776292612164542,0.0038691523039043265,0.0044981478214852705,0.0031311154598825833,0.0040736654502249005,0.004094790033106813,0.004108628119050005,0.005859872611464968,0.00381296407786474,0.08351063829787234,0.0033874750282289587,1.0
